//X	Y	Z	Scalar field
4157060.12900162	671342.46099854	4774768.47399902	485916736.000000
4157060.14199829	671342.46310043	4774768.48899841	486116704.000000
4157060.14899826	671342.46419907	4774768.49700165	486316672.000000
4157060.16999817	671342.46760178	4774768.50399780	486516736.000000
4157060.16299820	671342.46659851	4774768.49700165	486716672.000000
4157060.16999817	671342.46760178	4774768.50399780	486916672.000000
4157060.16199875	671342.47380066	4774768.49700165	487116704.000000
4157060.16899872	671342.47489929	4774768.50399780	487316672.000000
4157060.16099930	671342.48109818	4774768.49700165	487516704.000000
4157060.14599991	671342.47869873	4774768.49700165	487716704.000000
4157060.16199875	671342.47380066	4774768.49700165	487916672.000000
4157060.15599823	671342.47280121	4774768.48899841	488116736.000000
4157060.14099884	671342.47040176	4774768.48899841	488316672.000000
4157060.14099884	671342.47040176	4774768.48899841	488516704.000000
4157060.13600159	671342.46210098	4774768.48100281	488716736.000000
4157060.12900162	671342.46099854	4774768.47399902	488916672.000000
4157060.12900162	671342.46099854	4774768.47399902	489116672.000000
4157060.13000107	671342.45380020	4774768.47399902	489316768.000000
4157060.12900162	671342.46099854	4774768.47399902	489516704.000000
4157060.12200165	671342.45240021	4774768.48100281	489716672.000000
4157060.11600113	671342.45140076	4774768.47399902	489916672.000000
4157060.12099838	671342.45970154	4774768.48100281	490116736.000000
4157060.10800171	671342.45759964	4774768.46600342	490316672.000000
4157060.09899902	671342.47109985	4774768.45899963	490516704.000000
4157060.09099960	671342.47729874	4774768.45099640	490716704.000000
4157060.11399841	671342.48099899	4774768.44400024	490916672.000000
4157060.12300110	671342.48229980	4774768.43699646	491116704.000000
4157060.12300110	671342.48229980	4774768.43699646	491316704.000000
4157060.11700058	671342.47399902	4774768.42900085	491516704.000000
4157060.11999893	671342.46699905	4774768.41400146	491716736.000000
4157060.12900162	671342.46839905	4774768.40699768	491916672.000000
4157060.13100052	671342.45389938	4774768.40699768	492116672.000000
4157060.12599945	671342.44549942	4774768.39900208	492316736.000000
4157060.13299942	671342.43930054	4774768.40699768	492516704.000000
4157060.13600159	671342.42480087	4774768.40699768	492716672.000000
4157060.13000107	671342.41650009	4774768.39900208	492916736.000000
4157060.12500000	671342.40819931	4774768.39199829	493116704.000000
4157060.12099838	671342.39270020	4774768.38400269	493316672.000000
4157060.12799835	671342.38650131	4774768.39199829	493516704.000000
4157060.11700058	671342.37710190	4774768.37699890	493716704.000000
4157060.11100006	671342.36880112	4774768.36900330	493916672.000000
4157060.11199951	671342.36149979	4774768.36900330	494116704.000000
4157060.11399841	671342.35430145	4774768.36900330	494316704.000000
4157060.11500168	671342.35459900	4774768.35500336	494516736.000000
4157060.13800049	671342.35070038	4774768.36199951	494716672.000000
4157060.13399887	671342.33520126	4774768.35500336	494916704.000000
4157060.14400101	671342.32199860	4774768.34700012	495116704.000000
4157060.15999985	671342.30960083	4774768.36199951	495316736.000000
4157060.16999817	671342.29639816	4774768.35500336	495516704.000000
4157060.20199966	671342.28670120	4774768.35600281	495716672.000000
4157060.22000122	671342.26729965	4774768.35600281	495916736.000000
4157060.21500015	671342.25899887	4774768.34799957	496116704.000000
4157060.23400116	671342.24710083	4774768.33399963	496316672.000000
4157060.24300003	671342.24119949	4774768.32599640	496516768.000000
4157060.27399826	671342.23870087	4774768.32700348	496716672.000000
4157060.29000092	671342.23389816	4774768.32700348	496916672.000000
4157060.30099869	671342.22819901	4774768.30500031	497116736.000000
4157060.32400131	671342.22439957	4774768.31199646	497316704.000000
4157060.34099960	671342.21229935	4774768.31300354	497516704.000000
4157060.35100174	671342.19910049	4774768.30500031	497716672.000000
4157060.37400055	671342.20280075	4774768.29799652	497916672.000000
4157060.38100052	671342.21139908	4774768.29100037	498116704.000000
4157060.38100052	671342.21139908	4774768.29100037	498316672.000000
4157060.39699936	671342.20650101	4774768.29100037	498516736.000000
4157060.40399933	671342.21509933	4774768.28399658	498716672.000000
4157060.41999817	671342.22499847	4774768.26899719	498916672.000000
4157060.41699982	671342.23960114	4774768.26899719	499116704.000000
4157060.41699982	671342.25439835	4774768.25399780	499316672.000000
4157060.41699982	671342.26190186	4774768.23899841	499516736.000000
4157060.45399857	671342.27519989	4774768.23200226	499716672.000000
4157060.44599915	671342.29619980	4774768.20999908	499916672.000000
4157060.47299957	671342.31549835	4774768.20999908	500116736.000000
4157060.47900009	671342.33890152	4774768.18800354	500316672.000000
4157060.49200058	671342.36330032	4774768.17299652	500516768.000000
4157060.51200104	671342.39640045	4774768.15200043	500716704.000000
4157060.54100037	671342.41590118	4774768.13700104	500916704.000000
4157060.54700089	671342.44660187	4774768.11499786	501116704.000000
4157060.56600189	671342.47200012	4774768.10800171	501316704.000000
4157060.60100174	671342.49990082	4774768.10099792	501516768.000000
4157060.61100006	671342.53889847	4774768.08599854	501716672.000000
4157060.62400055	671342.56330109	4774768.07099915	501916704.000000
4157060.63399887	671342.60950089	4774768.05699921	502116736.000000
4157060.63700104	671342.63990021	4774768.04900360	502316704.000000
4157060.66199875	671342.67359924	4774768.05000305	502516768.000000
4157060.68000031	671342.70640182	4774768.04299927	502716704.000000
4157060.68299866	671342.74399948	4774768.03500366	502916704.000000
4157060.68799973	671342.77460098	4774768.01300049	503116736.000000
4157060.70000076	671342.80630112	4774767.99900055	503316704.000000
4157060.71200180	671342.83800125	4774767.98400116	503516704.000000
4157060.72200012	671342.87699890	4774767.96900177	503716736.000000
4157060.73400116	671342.90859985	4774767.95500183	503916704.000000
4157060.76200104	671342.93550110	4774767.94000244	504116704.000000
4157060.78200150	671342.96089935	4774767.93299866	504316736.000000
4157060.78699875	671342.97679901	4774767.92600250	504516768.000000
4157060.80899811	671342.98780060	4774767.91899872	504716704.000000
4157060.83200073	671342.99150085	4774767.91100311	504916704.000000
4157060.84999847	671342.98690033	4774767.89700317	505116704.000000
4157060.86999893	671342.99760056	4774767.90399933	505316704.000000
4157060.86399841	671342.99649811	4774767.89700317	505516768.000000
4157060.89400101	671342.99399948	4774767.89700317	505716704.000000
4157060.88199997	671342.98469925	4774767.88200378	505916704.000000
4157060.89099884	671342.98600006	4774767.87500000	506116704.000000
4157060.90499878	671342.98839951	4774767.87500000	506316704.000000
4157060.91299820	671342.98220062	4774767.88300323	506516768.000000
4157060.92100143	671342.98350143	4774767.87500000	506716736.000000
4157060.93600082	671342.98590088	4774767.87599945	506916704.000000
4157060.95100021	671342.98830032	4774767.87599945	507116736.000000
4157060.95899963	671342.98960114	4774767.86799622	507316736.000000
4157060.95199966	671342.99580002	4774767.86100006	507516768.000000
4157060.98500061	671342.98640060	4774767.84600067	507716672.000000
4157061.08200073	671342.94240189	4774767.79599762	507936704.000000
4157061.17699814	671342.89820099	4774767.75900269	508136672.000000
4157061.24200058	671342.81940079	4774767.70099640	508336672.000000
4157061.25400162	671342.76929855	4774767.60399628	508536704.000000
4157061.33700180	671342.67839813	4774767.54499817	508736800.000000
4157061.42499924	671342.57350159	4774767.52400208	508936672.000000
4157061.44699860	671342.48030090	4774767.46499634	509136704.000000
4157061.48699951	671342.38999939	4774767.44300079	509336768.000000
4157061.52899933	671342.29990005	4774767.40599823	509536704.000000
4157061.56999969	671342.20989990	4774767.36900330	509736768.000000
4157061.58900070	671342.07880020	4774767.33200073	509936736.000000
4157061.60400009	671341.96220016	4774767.29499817	510136704.000000
4157061.61700058	671341.82279968	4774767.25000000	510336672.000000
4157061.61700058	671341.68880081	4774767.24199677	510536704.000000
4157061.62400055	671341.57839966	4774767.26399994	510736768.000000
4157061.60499954	671341.45619965	4774767.27100372	510936672.000000
4157061.58300018	671341.33340073	4774767.30799866	511136704.000000
4157061.57400131	671341.19800186	4774767.37400055	511336672.000000
4157061.57099915	671341.10810089	4774767.45600128	511536704.000000
4157061.54199982	671341.01409912	4774767.50700378	511736768.000000
4157061.51499939	671340.95019913	4774767.56600189	511936672.000000
4157061.47200012	671340.86880112	4774767.65499878	512136672.000000
4157061.43899918	671340.74440002	4774767.71399689	512336736.000000
4157061.38899994	671340.60229874	4774767.81700134	512536704.000000
4157061.31000137	671340.48529816	4774767.87500000	512736768.000000
4157061.23099899	671340.35350037	4774767.94799805	512936736.000000
4157061.18299866	671340.26380157	4774768.02899933	513136704.000000
4157061.13999939	671340.18239975	4774768.11799622	513336704.000000
4157061.05699921	671340.03499985	4774768.18299866	513536768.000000
4157060.96099854	671339.90779877	4774768.27100372	513736768.000000
4157060.88899994	671339.75479889	4774768.31400299	513936672.000000
4157060.83499908	671339.62699890	4774768.36599731	514136672.000000
4157060.75199890	671339.50189972	4774768.40100098	514336704.000000
4157060.70199966	671339.35229874	4774768.45300293	514536704.000000
4157060.61600113	671339.20439911	4774768.54799652	514736800.000000
4157060.52199936	671339.03290176	4774768.61299896	514936672.000000
4157060.42599869	671338.92800140	4774768.67099762	515136704.000000
4157060.34899902	671338.80400085	4774768.71499634	515336672.000000
4157060.27399826	671338.71739960	4774768.76599884	515536672.000000
4157060.21500015	671338.64839935	4774768.83899689	515736800.000000
4157060.10699844	671338.48199844	4774768.88899994	515936672.000000
4157060.05500031	671338.38430023	4774768.94799805	516136704.000000
4157059.98799896	671338.28409958	4774769.00599670	516336672.000000
4157059.96300125	671338.16839981	4774769.05799866	516536736.000000
4157059.88000107	671338.05080032	4774769.14600372	516736768.000000
4157059.82600021	671337.90060043	4774769.22699738	516936704.000000
4157059.75199890	671337.76959991	4774769.32199860	517136704.000000
4157059.65999985	671337.64289856	4774769.37999725	517336704.000000
4157059.57300186	671337.48759842	4774769.42299652	517536704.000000
4157059.50699997	671337.36510086	4774769.51100159	517736800.000000
4157059.41400146	671337.24599838	4774769.55500031	517936672.000000
4157059.35499954	671337.13970184	4774769.62100220	518136704.000000
4157059.29499817	671337.04059982	4774769.68699646	518336672.000000
4157059.22399902	671336.95470047	4774769.76000214	518536704.000000
4157059.13600159	671336.82880020	4774769.83999634	518736768.000000
4157059.10200119	671336.68939972	4774769.92900085	518936672.000000
4157059.04999924	671336.61389923	4774770.02500153	519136672.000000
4157059.00799942	671336.54759979	4774770.08300018	519336672.000000
4157058.94400024	671336.48500061	4774770.13400269	519536704.000000
4157058.91400146	671336.38349915	4774770.20099640	519736768.000000
4157058.83100128	671336.25839996	4774770.30400085	519936672.000000
4157058.77999878	671336.13109970	4774770.39199829	520136768.000000
4157058.72200012	671335.97290039	4774770.44999695	520336672.000000
4157058.65299988	671335.84999847	4774770.50099945	520536704.000000
4157058.58800125	671335.72779846	4774770.57499695	520736768.000000
4157058.53300095	671335.63700104	4774770.64800262	520936704.000000
4157058.49399948	671335.51910019	4774770.75099945	521136704.000000
4157058.34099960	671335.29330063	4774770.87500000	521336704.000000
4157058.18799973	671335.07519913	4774770.98500061	521536704.000000
4157058.03200150	671334.84889984	4774771.07099915	521716704.000000
4157057.88299942	671334.63130188	4774771.15100098	521936672.000000
4157057.82300186	671334.50249863	4774771.19400024	522136704.000000
4157057.77799988	671334.33890152	4774771.28299713	522336672.000000
4157057.72800064	671334.20429993	4774771.37100220	522536704.000000
4157057.71900177	671334.08359909	4774771.42299652	522736768.000000
4157057.71500015	671334.00120163	4774771.43699646	522936672.000000
4157057.72200012	671333.95759964	4774771.43699646	523136672.000000
4157057.71200180	671333.92620087	4774771.43699646	523336672.000000
4157057.67399979	671333.83819962	4774771.42900085	523536704.000000
4157057.66999817	671333.71839905	4774771.43599701	523736768.000000
4157057.66699982	671333.55419922	4774771.48799896	523936672.000000
